ingredient_name,function1,function2,warning1,warning2,ingredient_origin,ingredient_charge
"1,2-Hexanediol", Solvent , Preservative Booster,,,Synthetic,Non-ionik
"2,3-Butanediol", Humectant , Solvent,,,Synthetic,Non-ionik
2-Aminobutanol, pH Adjuster ,,Irritant,,Synthetic,Kationik
2-Methylpropanediol, Solvent , Humectant,,,Synthetic,Non-ionik
2-O-Ethyl Ascorbic Acid, Antioxidant , Brightening,,,Synthetic,Non-ionik
3-O-Ethyl Ascorbic Acid, Antioxidant , Brightening,,,Synthetic,Non-ionik
Abies Sibirica Oil, Fragrance , Emollient,Allergen,,Natural,Non-ionik
Acacia Senegal Gum, Thickener , Emulsion Stabilizer,,,Natural,Anionik
Acetyl Dipeptide-1 Cetyl Ester, Cell-Communicating Ingredient , Soothing,,,Synthetic,Non-ionik
Acetyl Glucosamine, Skin Conditioning , Brightening,,,Natural Derivative,Non-ionik
Acetyl Glutamine, Skin Conditioning , Humectant,,,Natural Derivative,Non-ionik
Acetyl Heptapeptide-4, Cell-Communicating Ingredient ,,,,Synthetic,Non-ionik
Acetyl Hexapeptide-8, Cell-Communicating Ingredient ,,,,Synthetic,Non-ionik
Acetyl Octapeptide-3, Cell-Communicating Ingredient ,,,,Synthetic,Non-ionik
Acetyl Tetrapeptide-11, Skin Conditioning , Firming,,,Synthetic,Non-ionik
Acetyl Tetrapeptide-2, Cell-Communicating Ingredient ,,,,Synthetic,Non-ionik
Acetyl Tetrapeptide-5, Cell-Communicating Ingredient , De-puffing,,,Synthetic,Non-ionik
Acetyl Tyrosine, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Acmella Oleracea Extract, Skin Conditioning , Instant Smoothing,,,Natural,Non-ionik
Acrylates Copolymer, Film Forming ,,,,Synthetic,Anionik
Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Thickener , Emulsion Stabilizer,,,Synthetic,Anionik
Acrylic Acid/Acrylamidomethyl Propane Sulfonic Acid Copolymer, Thickener , Emulsion Stabilizer,,,Synthetic,Anionik
Actinidia Chinensis (Kiwi) Fruit Extract, Emollient , Skin Conditioning,Allergen,,Natural,Non-ionik
Adenosine, Cell-Communicating Ingredient ,,,,Natural Derivative,Non-ionik
Agar, Thickener ,,,,Natural,Non-ionik
Alanine, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Alanine/Histidine/Lysine Polypeptide Copper Hcl, Skin Conditioning ,,,,Synthetic,Kationik
Alcohol, Solvent , Astringent,Drying,Irritant,Natural Derivative,Non-ionik
Alcohol Denat, Solvent , Astringent,Drying,Irritant,Synthetic,Non-ionik
Allantoin, Soothing , Skin Conditioning,,,Natural Derivative,Non-ionik
Almond Oil/Polyglyceryl-10 Esters, Emulsifier , Emollient,,,Natural Derivative,Non-ionik
Aloe Barbadensis Flower Extract, Skin Conditioning , Antioxidant,Allergen,,Natural,Non-ionik
Aloe Barbadensis Leaf Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Alpha-Arbutin, Brightening ,,,,Natural Derivative,Non-ionik
Aluminum Chlorohydrate, Astringent ,,Controversial,Irritant,Synthetic,Kationik
Aluminum/Magnesium Hydroxide Stearate, Thickener , Opacifying,,,Synthetic,Non-ionik
Amaranthus Caudatus Seed Extract, Skin Conditioning , Emollient,,,Natural,Non-ionik
Amber Powder, Abrasive ,,,,Natural,Non-ionik
Aminomethyl Propanol, pH Adjuster ,,Irritant,,Synthetic,Kationik
Aminopropyl Ascorbyl Phosphate, Antioxidant , Brightening,,,Synthetic,Non-ionik
Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Thickener , Emulsion Stabilizer,,,Synthetic,Anionik
Ammonium Acryloyldimethyltaurate/Vp Copolymer, Thickener , Film Forming,,,Synthetic,Anionik
Amylopectin, Thickener ,,,,Natural,Non-ionik
Anemarrhena Asphodeloides Root Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Angelica Keiskei Extract, Skin Conditioning , Antioxidant,Fotosensitizing,,Natural,Non-ionik
Anhydroxylitol, Humectant ,,,,Natural Derivative,Non-ionik
Anthemis Nobilis Flower Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Anthemis Nobilis Flower Oil, Fragrance , Soothing,Allergen,,Natural,Non-ionik
Aqua (Water), Solvent ,,,,Natural,Non-ionik
Arachidyl Alcohol, Thickener , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Arachidyl Glucoside, Emulsifier ,,,,Natural Derivative,Non-ionik
Arachis Hypogaea (Peanut) Oil, Emollient , Occlusive,Allergen,,Natural,Non-ionik
Arbutin, Brightening ,,,,Natural Derivative,Non-ionik
Arginine, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Arisaema Amurense Extract, Skin Conditioning ,,,,Natural,Non-ionik
Artemisia Capillaris Leaf Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Artemisia Princeps Leaf Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Artemisia Vulgaris (Mugwort) Oil, Fragrance , Skin Conditioning,Allergen,,Natural,Non-ionik
Ascorbic Acid, Antioxidant , Brightening,Irritant,,Synthetic,Non-ionik
Ascorbyl Glucoside, Antioxidant , Brightening,,,Synthetic,Non-ionik
Ascorbyl Palmitate, Antioxidant , Emollient,,,Synthetic,Non-ionik
Ascorbyl Tetraisopalmitate, Antioxidant , Emollient,,,Synthetic,Non-ionik
Asiatic Acid, Skin Conditioning ,,,,Natural,Non-ionik
Asiaticoside, Skin Conditioning ,,,,Natural,Non-ionik
Aspartic Acid, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Astragalus Membranaceus Root Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Avena Sativa (Oat) Kernel Extract, Soothing , Skin Conditioning,,,Natural,Non-ionik
Avena Sativa (Oat) Kernel Flour, Abrasive , Thickener,,,Natural,Non-ionik
Bacillus Ferment, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Bacillus/Soybean Ferment Extract, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Bambusa Vulgaris Extract, Skin Conditioning ,,,,Natural,Non-ionik
Beeswax, Occlusive , Thickener,Comedogenic,,Natural,Non-ionik
Behenyl Alcohol, Thickener , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Bellis Perennis (Daisy) Flower Extract, Skin Conditioning ,,Allergen,,Natural,Non-ionik
Bentonite, Thickener ,,Drying,,Natural,Anionik
Benzalkonium Chloride, Preservative ,,Irritant,Allergen,Synthetic,Kationik
Benzyl Glycol, Solvent , Preservative Booster,Irritant,,Synthetic,Non-ionik
Beta-Carotene, Colorant , Antioxidant,,,Natural Derivative,Non-ionik
Beta-Glucan, Humectant , Soothing,,,Natural Derivative,Non-ionik
Betaine, Humectant ,,,,Natural Derivative,Amfoterik
Betaine Salicylate, Exfoliant ,,Exfoliating,Irritant,Synthetic,Non-ionik
Bht, Antioxidant ,,Controversial,,Synthetic,Non-ionik
Bifida Ferment Filtrate, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Bifida Ferment Lysate, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Biotin, Skin Conditioning ,,,,Synthetic,Non-ionik
"Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate", Solvent ,,,,Synthetic,Non-ionik
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, UV Filter ,,,,Synthetic,Non-ionik
Bis-PEG-12 Dimethicone, Emulsifier , Solubilizer,,,Synthetic,Non-ionik
Bis-PEG-18 Methyl Ether Dimethyl Silane, Solvent ,,,,Synthetic,Non-ionik
Bisabolol, Soothing ,,,,Natural Derivative,Non-ionik
Borago Officinalis Seed Oil, Emollient ,,,,Natural,Non-ionik
Brassica Campestris (Rapeseed) Sterols, Emollient , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Brassica Campestris Sprout Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Brassica Oleracea Capitata (Cabbage) Leaf Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Brassica Oleracea Italica (Broccoli) Sprout Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Brassica Rapa (Turnip) Leaf Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Bromelain, Enzyme , Exfoliant,Exfoliating,Irritant,Natural,Non-ionik
Buteth-3, Solvent , Solubilizer,,,Synthetic,Non-ionik
Butylene Glycol, Solvent , Humectant,,,Synthetic,Non-ionik
C12-13 Alketh-9, Emulsifier , Solubilizer,,,Synthetic,Non-ionik
C12-13 Pareth-9, Emulsifier , Solubilizer,,,Synthetic,Non-ionik
C12-14 Alketh-12, Emulsifier , Solubilizer,,,Synthetic,Non-ionik
C12-14 Pareth-12, Emulsifier , Solubilizer,,,Synthetic,Non-ionik
C12-15 Alkyl Lactate, Emollient , Solvent,,,Natural Derivative,Non-ionik
C12-20 Alkyl Glucoside, Emulsifier , Cleansing Agent,,,Natural Derivative,Non-ionik
C13-14 Isoparaffin, Emollient , Solvent,,,Synthetic,Non-ionik
C14-22 Alcohols, Thickener , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Caesalpinia Spinosa Fruit Pod Extract, Thickener ,,,,Natural,Non-ionik
Caffeine, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Calcium Gluconate, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Calcium Pantothenate, Skin Conditioning ,,,,Synthetic,Non-ionik
Calendula Officinalis Flower Extract, Soothing , Antioxidant,Allergen,,Natural,Non-ionik
Camellia Japonica Seed Oil, Emollient ,,,,Natural,Non-ionik
Camellia Sinensis (Green Tea) Leaf Extract, Antioxidant , Skin Conditioning,,,Natural,Non-ionik
Camellia Sinensis Leaf Powder, Abrasive ,,,,Natural,Non-ionik
Camellia Sinensis Leaf Water, Skin Conditioning , Solvent,,,Natural,Non-ionik
Camellia Sinensis Seed Oil, Emollient ,,,,Natural,Non-ionik
Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters, Emulsifier ,,,,Natural Derivative,Non-ionik
Caprylhydroxamic Acid, Preservative ,,,,Synthetic,Non-ionik
Caprylic/Capric Glycerides Polyglyceryl-10 Esters, Emulsifier ,,,,Natural Derivative,Non-ionik
Caprylic/Capric Triglyceride, Emollient ,,Comedogenic,,Natural Derivative,Non-ionik
Capryloyl Salicylic Acid, Exfoliant ,,Exfoliating,Irritant,Synthetic,Non-ionik
Caprylyl Glycol, Humectant , Preservative Booster,,,Natural Derivative,Non-ionik
Caprylyl Methicone, Emollient ,,,,Synthetic,Non-ionik
Caprylyl/Capryl Glucoside, Cleansing Agent , Solubilizer,,,Natural Derivative,Non-ionik
Capsicum Frutescens Fruit Extract, Skin Conditioning ,,Irritant,,Natural,Non-ionik
Caramel, Colorant ,,,,Natural Derivative,Non-ionik
Carbomer, Thickener , Emulsion Stabilizer,,,Synthetic,Anionik
Carthamus Tinctorius (Safflower) Seed Oil, Emollient ,,,,Natural,Non-ionik
Castoryl Maleate, Emollient ,,,,Natural Derivative,Non-ionik
Cellulose, Thickener ,,,,Natural,Non-ionik
Cellulose Gum, Thickener ,,,,Natural Derivative,Anionik
Centella Asiatica Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Centella Asiatica Leaf Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Centella Asiatica Leaf Vesicles, Skin Conditioning ,,Allergen,,Natural,Non-ionik
Centella Asiatica Leaf Water, Skin Conditioning , Solvent,Allergen,,Natural,Non-ionik
Centella Asiatica Leaf/Stem Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Centella Asiatica Root Extract, Skin Conditioning ,,Allergen,,Natural,Non-ionik
Ceramide Ap, Skin Conditioning ,,,,Synthetic,Non-ionik
Ceramide As, Skin Conditioning ,,,,Synthetic,Non-ionik
Ceramide Eop, Skin Conditioning ,,,,Synthetic,Non-ionik
Ceramide Np, Skin Conditioning ,,,,Synthetic,Non-ionik
Ceramide Ns, Skin Conditioning ,,,,Synthetic,Non-ionik
Cetearyl Alcohol, Thickener , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Cetearyl Dimethicone, Emollient ,,,,Synthetic,Non-ionik
Cetearyl Olivate, Emulsifier , Emollient,,,Natural Derivative,Non-ionik
Cetyl Alcohol, Thickener , Emulsion Stabilizer,,,Natural Derivative,Non-ionik
Cetyl Ethylhexanoate, Emollient ,,Comedogenic,,Synthetic,Non-ionik
Cetyl Hydroxyethylcellulose, Thickener ,,,,Natural Derivative,Non-ionik
Cetyl-Pg Hydroxyethyl Palmitamide, Skin Conditioning ,,,,Synthetic,Non-ionik
Chamaecyparis Obtusa Water, Skin Conditioning ,,,,Natural,Non-ionik
Chamomilla Recutita (Matricaria) Flower Extract, Soothing , Skin Conditioning,Allergen,,Natural,Non-ionik
Chamomilla Recutita (Matricaria) Flower Oil, Fragrance , Soothing,Allergen,,Natural,Non-ionik
Chlorella Vulgaris Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Chlorphenesin, Preservative ,,,,Synthetic,Non-ionik
Cholesterol, Skin Conditioning , Emollient,,,Natural Derivative,Non-ionik
Ci 14720, Colorant ,,,,Synthetic,Non-ionik
Ci 15985 (Yellow 6), Colorant ,,,,Synthetic,Non-ionik
Ci 16035 (Red 40), Colorant ,,,,Synthetic,Non-ionik
Ci 16255, Colorant ,,,,Synthetic,Non-ionik
Ci 17200 (Red 33), Colorant ,,,,Synthetic,Non-ionik
Ci 18965, Colorant ,,,,Synthetic,Non-ionik
Ci 19140, Colorant ,,,,Synthetic,Non-ionik
Ci 19140 (Yellow 5), Colorant ,,,,Synthetic,Non-ionik
Ci 42090, Colorant ,,,,Synthetic,Non-ionik
Ci 61570 (Green 5), Colorant ,,,,Synthetic,Non-ionik
Ci 77266 (Black 2), Colorant ,,,,Synthetic,Non-ionik
Ci 77288 (Chromium Oxide Green), Colorant ,,,,Natural,Non-ionik
Ci 77492 (Iron Oxides Yellow), Colorant ,,,,Natural,Non-ionik
Ci 77891 (Titanium Dioxide), Colorant , UV Filter,,,Natural,Non-ionik
Citral, Fragrance ,,Allergen,Irritant,Natural Derivative,Non-ionik
Citric Acid, pH Adjuster , Chelating Agent,Irritant,,Natural Derivative,Anionik
Citronellol, Fragrance ,,Allergen,,Natural Derivative,Non-ionik
Citrullus Vulgaris (Watermelon) Fruit Extract, Skin Conditioning ,,,,Natural,Non-ionik
Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Fragrance ,,Fototoxic,Allergen,Natural,Non-ionik
Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Fragrance , Antioxidant,Fototoxic,Allergen,Natural,Non-ionik
Citrus Aurantium Dulcis (Orange) Peel Oil, Fragrance ,,Fototoxic,Allergen,Natural,Non-ionik
Citrus Paradisi (Grapefruit) Peel Oil, Fragrance ,,Fototoxic,Allergen,Natural,Non-ionik
Citrus Reticulata (Tangerine) Fruit Extract, Skin Conditioning , Antioxidant,Allergen,,Natural,Non-ionik
Citrus Reticulata (Tangerine) Peel Extract, Skin Conditioning , Antioxidant,Allergen,Fototoxic,Natural,Non-ionik
Citrus Unshiu Peel Powder, Abrasive ,,,,Natural,Non-ionik
Cladosiphon Okamuranus Extract, Thickener ,,,,Natural,Non-ionik
Cocamide Dea, Foam Booster , Viscosity Modifier,Controversial,,Natural Derivative,Non-ionik
Cocamidopropyl Betaine, Cleansing Agent , Foam Booster,Allergen,,Natural Derivative,Amfoterik
Cocamidopropyl Dimethylamine, Hair Conditioning ,,,,Natural Derivative,Kationik
Cocamidopropyl Hydroxysultaine, Cleansing Agent ,,,,Natural Derivative,Amfoterik
Cocamidopropyl Pg-Dimonium Chloride Phosphate, Hair Conditioning ,,,,Synthetic,Kationik
Coccinia Indica Fruit Extract, Skin Conditioning ,,,,Natural,Non-ionik
Coco-Betaine, Cleansing Agent ,,,,Natural Derivative,Amfoterik
Coco-Caprylate/Caprate, Emollient ,,,,Natural Derivative,Non-ionik
Coco-Glucoside, Cleansing Agent , Emollient,,,Natural Derivative,Non-ionik
Coffea Arabica (Coffee) Seed Extract, Antioxidant , Skin Conditioning,,,Natural,Non-ionik
Collagen Amino Acids, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Collagen Extract, Film Forming , Skin Conditioning,,,Natural Derivative,Amfoterik
Collagen Water, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Copper Tripeptide-1, Cell-Communicating Ingredient ,,,,Synthetic,Non-ionik
Coptis Japonica Root Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Corallina Officinalis Extract, Skin Conditioning ,,,,Natural,Non-ionik
Corchorus Olitorius Leaf Extract, Skin Conditioning ,,,,Natural,Non-ionik
Coriandrum Sativum (Coriander) Extract, Skin Conditioning , Antioxidant,Allergen,,Natural,Non-ionik
Crocus Sativus Flower Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Cryptomeria Japonica Leaf Extract, Fragrance ,,,,Natural,Non-ionik
Cucumis Melo (Melon) Fruit Extract, Skin Conditioning ,,,,Natural,Non-ionik
Curcuma Longa (Turmeric) Root Extract, Antioxidant , Colorant,Staining,,Natural,Non-ionik
Cyanocobalamin, Colorant ,,,,Synthetic,Non-ionik
Cyclodextrin, Solubilizer ,,,,Natural Derivative,Non-ionik
Cyclohexasiloxane, Emollient , Solvent,,,Synthetic,Non-ionik
Cyclopentasiloxane, Emollient , Solvent,,,Synthetic,Non-ionik
Cymbopogon Citratus Leaf Oil, Fragrance ,,Allergen,Irritant,Natural,Non-ionik
Cynara Scolymus (Artichoke) Leaf Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Cyperus Rotundus Root Extract, Skin Conditioning ,,,,Natural,Non-ionik
Cysteine, Skin Conditioning ,,,,Natural Derivative,Amfoterik
Daucus Carota Sativa (Carrot) Root Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Decyl Glucoside, Cleansing Agent ,,,,Natural Derivative,Non-ionik
Defatted Rice Bran, Skin Conditioning ,,,,Natural,Non-ionik
Defatted Rice Bran Extract, Skin Conditioning ,,,,Natural,Non-ionik
Deoxyphytantriyl Palmitamide Mea, Emollient ,,,,Synthetic,Kationik
Dextrin, Thickener ,,,,Natural Derivative,Non-ionik
Dibutyl Adipate, Emollient , Solvent,,,Synthetic,Non-ionik
Diethoxyethyl Succinate, Emollient , Solvent,,,Synthetic,Non-ionik
Diethylamino Hydroxybenzoyl Hexyl Benzoate, UV Filter ,,,,Synthetic,Non-ionik
Diethylhexyl Syringylidenemalonate, Antioxidant ,,,,Synthetic,Anionik
Diglucosyl Gallic Acid, Antioxidant ,,,,Synthetic,Non-ionik
Diglycerin, Humectant ,,,,Natural Derivative,Non-ionik
Dihydroxypropyl Arginine Hcl, Hair Conditioning ,,,,Synthetic,Kationik
Diisopropyl Adipate, Emollient , Solvent,,,Synthetic,Non-ionik
Dimethicone, Emollient , Occlusive,,,Synthetic,Non-ionik
Dimethicone/Vinyl Dimethicone Crosspolymer, Thickener ,,,,Synthetic,Non-ionik
Dimethiconol, Emollient , Occlusive,,,Synthetic,Non-ionik
Dimethyl Isosorbide, Solvent ,,,,Synthetic,Non-ionik
Dimethylmethoxy Chromanol, Antioxidant ,,,,Synthetic,Non-ionik
Dimethylsilanol Hyaluronate, Humectant ,,,,Synthetic,Non-ionik
Dioscorea Japonica Root Extract, Skin Conditioning ,,,,Natural,Non-ionik
Dipeptide Diaminobutyroyl Benzylamide Diacetate, Cell-Communicating Ingredient ,,,,Synthetic,Kationik
Diphenyl Dimethicone, Emollient ,,,,Synthetic,Non-ionik
Diphenylsiloxy Phenyl Trimethicone, Emollient ,,,,Synthetic,Non-ionik
