ingredient_name,function1,function2,warning1,warning2,ingredient_origin,ingredient_charge
Paeonia Lactiflora Root Extract, Antioxidant ,,,,Natural,Non-ionik
Paeonia Suffruticosa Root Extract, Antioxidant ,,,,Natural,Non-ionik
Palmitic Acid, Emulsifier ,,Comedogenic,,Natural Derivative,Non-ionik
Palmitoyl Grape Seed Extract, Antioxidant ,,,,Natural Derivative,Non-ionik
Palmitoyl Oligopeptide, Skin Conditioning ,,,,Synthetic,Non-ionik
Palmitoyl Pentapeptide-4, Skin Conditioning ,,,,Synthetic,Non-ionik
Palmitoyl Tetrapeptide-7, Skin Conditioning ,,,,Synthetic,Non-ionik
Palmitoyl Tripeptide-1, Skin Conditioning ,,,,Synthetic,Non-ionik
Palmitoyl Tripeptide-5, Skin Conditioning ,,,,Synthetic,Non-ionik
Panax Ginseng Flower Extract, Antioxidant ,,,,Natural,Non-ionik
Panax Ginseng Leaf/Stem Extract, Antioxidant ,,,,Natural,Non-ionik
Panax Ginseng Root Extract, Antioxidant ,,,,Natural,Non-ionik
Panax Ginseng Root Water, Solvent ,,,,Natural,Non-ionik
Panax Ginseng Seed Oil, Emollient ,,,,Natural,Non-ionik
Panthenol, Humectant , Soothing,,,Synthetic,Non-ionik
Pantothenic Acid, Skin Conditioning ,,,,Synthetic,Non-ionik
Papain, Enzymatic Exfoliant ,,Exfoliating,Irritant,Natural,Non-ionik
Parfum, Fragrance ,,Allergen,Sensitizer,Synthetic,Non-ionik
Pelargonium Graveolens Flower Oil, Fragrance ,,Allergen,,Natural,Non-ionik
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Antioxidant ,,,,Synthetic,Non-ionik
Pentaerythrityl Tetraethylhexanoate, Emollient ,,,,Synthetic,Non-ionik
Pentapeptide-13, Skin Conditioning ,,,,Synthetic,Non-ionik
Pentylene Glycol, Humectant , Solvent,,,Synthetic,Non-ionik
Persea Gratissima (Avocado) Oil, Emollient ,,Comedogenic,,Natural,Non-ionik
Phellinus Linteus Extract, Antioxidant ,,,,Natural,Non-ionik
Phenethyl Alcohol, Preservative , Fragrance,Allergen,,Synthetic,Non-ionik
Phenoxyethanol, Preservative ,,,,Synthetic,Non-ionik
Phenyl Trimethicone, Emollient ,,,,Synthetic,Non-ionik
Phenylalanine, Humectant ,,,,Natural Derivative,Amfoterik
Phenylethyl Resorcinol, Skin Brightening , Antioxidant,,,Synthetic,Non-ionik
Phosphatidylcholine, Emulsifier , Emollient,,,Natural Derivative,Amfoterik
Phytic Acid, Chelating Agent , Antioxidant,,,Natural Derivative,Anionik
Phytosphingosine, Skin Conditioning ,,,,Natural Derivative,Amfoterik
Phytosterols, Emollient ,,,,Natural Derivative,Non-ionik
Phytosteryl/Octyldodecyl Lauroyl Glutamate, Emollient ,,,,Natural Derivative,Anionik
Pinus Densiflora Leaf Extract, Fragrance ,,,,Natural,Non-ionik
Pinus Palustris Leaf Extract, Fragrance ,,,,Natural,Non-ionik
Pinus Sylvestris Bud Extract, Fragrance ,,,,Natural,Non-ionik
Pogostemon Cablin Oil, Fragrance ,,Allergen,,Natural,Non-ionik
Polyacrylamide, Rheology Modifier ,,,,Synthetic,Non-ionik
Polyacrylate Crosspolymer-6, Rheology Modifier ,,,,Synthetic,Anionik
Polyacrylate-13, Rheology Modifier ,,,,Synthetic,Anionik
Polyglutamic Acid, Humectant ,,,,Natural Derivative,Anionik
Polyglycerin-10, Humectant ,,,,Natural Derivative,Non-ionik
Polyglycerin-3, Humectant ,,,,Natural Derivative,Non-ionik
Polyglyceryl-10 Laurate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-10 Myristate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-10 Oleate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-10 Stearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-3 Distearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-3 Methylglucose Distearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-4 Laurate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-4 Punicate, Emollient ,,,,Natural Derivative,Non-ionik
Polyglyceryl-6 Distearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polyglyceryl-6 Laurate, Emulsifier ,,,,Natural Derivative,Non-ionik
Polygonatum Odoratum Rhizome Extract, Skin Conditioning ,,,,Natural,Non-ionik
Polyisobutene, Emollient ,,,,Synthetic,Non-ionik
Polymethyl Methacrylate, Texture Enhancer ,,,,Synthetic,Non-ionik
Polyquaternium-10, Hair Conditioning ,,,,Synthetic,Kationik
Polyquaternium-112, Hair Fixative ,,,,Synthetic,Kationik
Polyquaternium-51, Skin Conditioning ,,,,Synthetic,Kationik
Polyquaternium-67, Hair Fixative ,,,,Synthetic,Kationik
Polyquaternium-7, Hair Conditioning ,,,,Synthetic,Kationik
Polysorbate 20, Solubilizer ,,,,Synthetic,Non-ionik
Polysorbate 60, Emulsifier ,,,,Synthetic,Non-ionik
Polysorbate 80, Emulsifier ,,,,Synthetic,Non-ionik
Portulaca Oleracea Extract, Soothing ,,,,Natural,Non-ionik
Potassium Benzoate, Preservative ,,,,Synthetic,Anionik
Potassium Cetyl Phosphate, Emulsifier ,,,,Natural Derivative,Anionik
Potassium Chloride, Viscosity Control ,,,,Natural,Non-ionik
Potassium Cocoate, Cleansing Agent ,,,,Natural Derivative,Anionik
Potassium Cocoyl Glutamate, Cleansing Agent ,,,,Natural Derivative,Anionik
Potassium Cocoyl Glycinate, Cleansing Agent ,,,,Natural Derivative,Anionik
Potassium Hyaluronate, Humectant ,,,,Natural Derivative,Anionik
Potassium Hydroxide, pH Adjuster ,,Irritant,,Synthetic,Non-ionik
Potassium Lactate, Humectant ,,,,Natural Derivative,Non-ionik
Potassium Phosphate, Buffering Agent ,,,,Synthetic,Anionik
Potassium Sorbate, Preservative ,,,,Synthetic,Anionik
Potentilla Anserina Extract, Soothing ,,,,Natural,Non-ionik
Proline, Humectant ,,,,Natural Derivative,Amfoterik
Propanediol, Humectant , Solvent,,,Synthetic,Non-ionik
Propylene Glycol, Humectant , Solvent,,,Synthetic,Non-ionik
Protease, Enzymatic Exfoliant ,,Exfoliating,Irritant,Natural,Non-ionik
Prunus Amygdalus Dulcis (Sweet Almond) Oil, Emollient ,,Allergen,,Natural,Non-ionik
Prunus Mume Fruit Water, Solvent ,,,,Natural,Non-ionik
Prunus Persica (Peach) Flower Extract, Skin Conditioning ,,Allergen,,Natural,Non-ionik
Prunus Persica (Peach) Fruit Extract, Skin Conditioning ,,Allergen,,Natural,Non-ionik
Pueraria Lobata Root Extract, Antioxidant ,,,,Natural,Non-ionik
Pullulan, Film Forming ,,,,Natural Derivative,Non-ionik
Pvm/Ma Copolymer, Film Forming ,,,,Synthetic,Anionik
Pyridoxine, Skin Conditioning ,,,,Synthetic,Non-ionik
Pyridoxine Hcl, Skin Conditioning ,,,,Synthetic,Kationik
Pyrus Communis (Pear) Fruit Extract, Skin Conditioning ,,,,Natural,Non-ionik
Pyrus Malus (Apple) Fruit Water, Solvent ,,,,Natural,Non-ionik
Pyrus Malus (Apple) Juice, Solvent ,,,,Natural,Non-ionik
Quaternium-73, Antimicrobial ,,,,Synthetic,Kationik
Quillaja Saponaria Bark Extract, Cleansing Agent ,,,,Natural,Non-ionik
Raphanus Sativus (Radish) Seed Extract, Preservative ,,,,Natural,Non-ionik
Raspberry Ketone, Fragrance ,,,,Natural Derivative,Non-ionik
Rehmannia Glutinosa Root Extract, Skin Conditioning ,,,,Natural,Non-ionik
Retinal, Skin Conditioning ,,Irritant,Fotosensitizing,Synthetic,Non-ionik
Retinol, Skin Conditioning ,,Irritant,Fotosensitizing,Synthetic,Non-ionik
Retinyl Acetate, Skin Conditioning ,,Irritant,Fotosensitizing,Synthetic,Non-ionik
Retinyl Palmitate, Skin Conditioning , Antioxidant,Irritant,Fotosensitizing,Synthetic,Non-ionik
Riboflavin, Colorant ,,,,Synthetic,Non-ionik
Rice Amino Acids, Humectant ,,,,Natural Derivative,Amfoterik
Rosa Damascena Flower Water, Fragrance , Solvent,Allergen,,Natural,Non-ionik
Rosmarinus Officinalis (Rosemary) Extract, Antioxidant ,,Allergen,,Natural,Non-ionik
Rosmarinus Officinalis (Rosemary) Leaf Oil, Fragrance , Antioxidant,Allergen,,Natural,Non-ionik
Rubus Idaeus (Raspberry) Fruit Extract, Antioxidant ,,,,Natural,Non-ionik
Saccharide Hydrolysate, Humectant ,,,,Natural Derivative,Non-ionik
Saccharide Isomerate, Humectant ,,,,Natural Derivative,Non-ionik
Saccharomyces Ferment, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Saccharomyces Ferment Filtrate, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Saccharomyces/Rice Ferment Filtrate, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Saccharum Officinarum Extract, Humectant ,,,,Natural,Non-ionik
Salicylic Acid, Exfoliant ,,Exfoliating,Irritant,Natural Derivative,Non-ionik
Salix Alba (Willow) Bark Extract, Exfoliant ,,,,Natural,Non-ionik
Salix Alba (Willow) Bark Water, Solvent ,,,,Natural,Non-ionik
Salix Nigra (Willow) Bark Extract, Exfoliant ,,,,Natural,Non-ionik
Salvia Hispanica Seed Extract, Skin Conditioning ,,,,Natural,Non-ionik
Salvia Sclarea (Clary) Oil, Fragrance ,,Allergen,,Natural,Non-ionik
Saxifraga Sarmentosa Extract, Skin Conditioning ,,,,Natural,Non-ionik
Sclareolide, Fragrance ,,Allergen,,Natural Derivative,Non-ionik
Scutellaria Alpina Flower/Leaf/Stem Extract, Antioxidant ,,,,Natural,Non-ionik
Scutellaria Baicalensis Root Extract, Antioxidant ,,,,Natural,Non-ionik
Sea Water, Solvent ,,Drying,,Natural,Non-ionik
Sericin, Film Forming ,,Allergen,,Natural Derivative,Amfoterik
Serine, Humectant ,,,,Natural Derivative,Amfoterik
Sh-Oligopeptide-1, Skin Conditioning ,,,,Synthetic,Non-ionik
Sh-Oligopeptide-2, Skin Conditioning ,,,,Synthetic,Non-ionik
Sh-Polypeptide-1, Skin Conditioning ,,,,Synthetic,Non-ionik
Sh-Polypeptide-22, Skin Conditioning ,,,,Synthetic,Non-ionik
Sh-Polypeptide-3, Skin Conditioning ,,,,Synthetic,Non-ionik
Silica, Absorbent ,,,,Natural,Non-ionik
Silica Dimethyl Silylate, Rheology Modifier ,,,,Synthetic,Non-ionik
Simmondsia Chinensis (Jojoba) Seed Oil, Emollient ,,,,Natural,Non-ionik
Sodium Acetate, Buffering Agent ,,,,Natural Derivative,Anionik
Sodium Acetylated Hyaluronate, Humectant ,,,,Natural Derivative,Anionik
Sodium Ascorbyl Phosphate, Antioxidant ,,,,Synthetic,Anionik
Sodium Benzoate, Preservative ,,,,Synthetic,Anionik
Sodium Benzotriazolyl Butylphenol Sulfonate, UV Filter ,,,,Synthetic,Anionik
Sodium Bisulfite, Antioxidant , Preservative,,,Synthetic,Anionik
Sodium C14-16 Olefin Sulfonate, Cleansing Agent ,,Irritant,Drying,Synthetic,Anionik
Sodium Carboxymethyl Beta-Glucan, Humectant ,,,,Natural Derivative,Anionik
Sodium Chloride, Viscosity Control ,,,,Natural,Non-ionik
Sodium Citrate, Buffering Agent , Chelating Agent,,,Natural Derivative,Anionik
Sodium Cocoamphoacetate, Cleansing Agent ,,,,Natural Derivative,Amfoterik
Sodium Cocoyl Alaninate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Cocoyl Glutamate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Cocoyl Glycinate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Cocoyl Isethionate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Diethylenetriamine Pentamethylene Phosphonate, Chelating Agent ,,,,Synthetic,Anionik
Sodium Dna, Skin Conditioning ,,,,Natural Derivative,Anionik
Sodium Gluceptate, Chelating Agent ,,,,Synthetic,Anionik
Sodium Hyaluronate, Humectant ,,,,Natural Derivative,Anionik
Sodium Hyaluronate Crosspolymer, Humectant ,,,,Synthetic,Anionik
Sodium Hyaluronate Dimethylsilanol, Humectant ,,,,Synthetic,Non-ionik
Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Rheology Modifier ,,,,Natural Derivative,Anionik
Sodium Hydroxide, pH Adjuster ,,Irritant,,Synthetic,Non-ionik
Sodium Lactate, Humectant ,,,,Natural Derivative,Non-ionik
Sodium Laureth Sulfate, Cleansing Agent ,,Irritant,Drying,Synthetic,Anionik
Sodium Lauroyl Aspartate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Lauroyl Glutamate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Lauroyl Lactylate, Emulsifier , Cleansing Agent,,,Natural Derivative,Anionik
Sodium Lauroyl Sarcosinate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Metabisulfite, Antioxidant , Preservative,,,Synthetic,Anionik
Sodium Metaphosphate, Chelating Agent ,,,,Synthetic,Anionik
Sodium Methyl Cocoyl Taurate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Methyl Stearoyl Taurate, Cleansing Agent ,,,,Natural Derivative,Anionik
Sodium Nitrate, Preservative ,,,,Synthetic,Anionik
Sodium Palmitoyl Proline, Skin Conditioning ,,,,Synthetic,Anionik
Sodium Pca, Humectant ,,,,Natural Derivative,Anionik
Sodium Phosphate, Buffering Agent ,,,,Synthetic,Anionik
Sodium Phytate, Chelating Agent , Antioxidant,,,Natural Derivative,Anionik
Sodium Polyacrylate, Rheology Modifier ,,,,Synthetic,Anionik
Sodium Polyacryloyldimethyl Taurate, Rheology Modifier ,,,,Synthetic,Anionik
Sodium Polyaspartate, Humectant ,,,,Natural Derivative,Anionik
Sodium Polynaphthalenesulfonate, Dispersant ,,,,Synthetic,Anionik
Sodium Stearoyl Glutamate, Emulsifier ,,,,Natural Derivative,Anionik
Sodium Sulfate, Viscosity Control ,,,,Natural,Anionik
Sodium Sulfite, Antioxidant , Preservative,,,Synthetic,Anionik
Solanum Lycopersicum (Tomato) Fruit Extract, Antioxidant ,,,,Natural,Non-ionik
Solanum Melongena (Eggplant) Fruit Extract, Skin Conditioning ,,,,Natural,Non-ionik
Sophora Angustifolia Root Extract, Skin Conditioning ,,,,Natural,Non-ionik
Sophora Japonica Bud Extract, Skin Conditioning ,,,,Natural,Non-ionik
Sorbic Acid, Preservative ,,,,Synthetic,Non-ionik
Sorbitan Isostearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Sorbitan Olivate, Emulsifier ,,,,Natural Derivative,Non-ionik
Sorbitol, Humectant ,,,,Natural Derivative,Non-ionik
Sphingomonas Ferment Extract, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Squalane, Emollient ,,,,Natural Derivative,Non-ionik
Steareth-2, Emulsifier ,,,,Synthetic,Non-ionik
Steareth-21, Emulsifier ,,,,Synthetic,Non-ionik
Steareth-30, Emulsifier ,,,,Synthetic,Non-ionik
Stearic Acid, Emulsifier ,,Comedogenic,,Natural Derivative,Non-ionik
Stellaria Media (Chickweed) Extract, Skin Conditioning ,,,,Natural,Non-ionik
Stephania Tetrandra Root Extract, Skin Conditioning ,,,,Natural,Non-ionik
Streptococcus Thermophilus Ferment, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Styrene/Acrylates Copolymer, Film Forming ,,,,Synthetic,Anionik
Succinic Acid, pH Adjuster ,,,,Natural Derivative,Non-ionik
Sucrose Distearate, Emulsifier ,,,,Natural Derivative,Non-ionik
Synthetic Fluorphlogopite, Colorant ,,,,Synthetic,Non-ionik
Tamarindus Indica Seed Polysaccharide, Film Forming ,,,,Natural Derivative,Non-ionik
Tea-Cocoyl Glutamate, Cleansing Agent ,,,,Natural Derivative,Anionik
Terephthalylidene Dicamphor Sulfonic Acid, UV Filter ,,,,Synthetic,Anionik
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Antioxidant ,,,,Natural,Non-ionik
Tetradecene, Emollient ,,,,Synthetic,Non-ionik
Tetrapeptide-44, Skin Conditioning ,,,,Synthetic,Non-ionik
Tetrasodium Edta, Chelating Agent ,,,,Synthetic,Anionik
Theobroma Cacao (Cocoa) Extract, Antioxidant ,,,,Natural,Non-ionik
Theobroma Cacao (Cocoa) Seed Extract, Antioxidant ,,,,Natural,Non-ionik
Thermus Thermophillus Ferment, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Thiamine Hcl, Skin Conditioning ,,,,Synthetic,Kationik
Threonine, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Thymol Trimethoxycinnamate, UV Filter ,,,,Synthetic,Non-ionik
Tin Oxide, Opacifying , Colorant,,,Natural,Non-ionik
Tocopherol, Antioxidant ,,,,Natural Derivative,Non-ionik
Tocopheryl Acetate, Antioxidant ,,,,Synthetic,Non-ionik
Tocotrienols, Antioxidant ,,,,Natural Derivative,Non-ionik
Tranexamic Acid, Skin Conditioning , Brightening,,,Synthetic,Non-ionik
Tranexamoyl Dipeptide-22, Skin Conditioning , Brightening,,,Synthetic,Non-ionik
Tranexamoyl Dipeptide-23, Skin Conditioning , Brightening,,,Synthetic,Non-ionik
Trehalose, Humectant ,,,,Natural Derivative,Non-ionik
Tremella Fuciformis (Mushroom) Extract, Humectant , Skin Conditioning,,,Natural,Non-ionik
Tremella Fuciformis Sporocarp Extract, Humectant , Skin Conditioning,,,Natural,Non-ionik
Tributyl Citrate, Solvent , Plasticizer,,,Synthetic,Non-ionik
Tridecane, Emollient , Solvent,,,Synthetic,Non-ionik
Trideceth-9, Solubilizer ,,,,Synthetic,Non-ionik
Triethoxycaprylylsilane, Dispersing Agent ,,,,Synthetic,Non-ionik
Triethylhexanoin, Emollient , Solvent,Comedogenic,,Synthetic,Non-ionik
Tripeptide-1, Skin Conditioning ,,,,Synthetic,Non-ionik
Tripeptide-29, Skin Conditioning ,,,,Synthetic,Non-ionik
Tris(Tetramethylhydroxypiperidinol) Citrate, Antioxidant ,,,,Synthetic,Non-ionik
Trisiloxane, Solvent , Emollient,,,Synthetic,Non-ionik
Trisodium Ethylenediamine Disuccinate, Chelating Agent ,,,,Synthetic,Anionik
Triticum Vulgare Sprout Extract, Skin Conditioning , Antioxidant,Allergen,,Natural,Non-ionik
Tromethamine, pH Adjuster ,,,,Synthetic,Non-ionik
Tuber Magnatum Extract, Fragrance ,,,,Natural,Non-ionik
Tyrosine, Skin Conditioning ,,,,Natural Derivative,Amfoterik
Ulmus Davidiana Root Extract, Soothing , Skin Conditioning,,,Natural,Non-ionik
Ulva Lactuca Extract, Skin Conditioning , Antioxidant,,,Natural,Non-ionik
Undaria Pinnatifida Extract, Skin Conditioning ,,,,Natural,Non-ionik
Undecane, Emollient , Solvent,,,Synthetic,Non-ionik
Undecylenoyl Phenylalanine, Brightening , Skin Conditioning,,,Synthetic,Non-ionik
Urea, Humectant , Skin Conditioning,,,Natural Derivative,Non-ionik
Valine, Humectant , Skin Conditioning,,,Natural Derivative,Amfoterik
Vigna Radiata Seed Extract, Skin Conditioning ,,,,Natural,Non-ionik
Vinegar, pH Adjuster ,,Irritant,,Natural Derivative,Non-ionik
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Texture Enhancer , Film Forming,,,Synthetic,Non-ionik
Xanthan Gum, Rheology Modifier ,,,,Natural Derivative,Anionik
Xylitol, Humectant ,,,,Natural Derivative,Non-ionik
Xylitylglucoside, Humectant ,,,,Natural Derivative,Non-ionik
Xylose, Humectant ,,,,Natural Derivative,Non-ionik
Yeast Extract, Skin Conditioning ,,,,Natural Derivative,Non-ionik
Zea Mays (Corn) Kernel Extract, Skin Conditioning ,,,,Natural,Non-ionik
Zea Mays (Corn) Starch, Absorbent ,,,,Natural,Non-ionik
Zinc Pca, Sebum Regulating , Antimicrobial,,,Synthetic,Non-ionik
Zinc Pyrithione, Antimicrobial , Anti-Dandruff,Irritant,Drying,Synthetic,Non-ionik
Zinc Stearate, Texture Enhancer , Opacifying,,,Natural Derivative,Non-ionik
